epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,15863.2,0.92567,1.90364,1.20493,0.50835,0.53077,0.45749,0.20848,1.99551,5.48644,2.14741,0.000222961,0.000222961,0.000222961
177,15954.7,0.92076,1.86165,1.21305,0.46609,0.52183,0.43656,0.20712,2.00177,5.75492,2.147,0.00021471,0.00021471,0.00021471
178,16045.3,0.95605,1.93074,1.22418,0.52638,0.49093,0.43549,0.20288,1.99264,5.77576,2.13453,0.000206458,0.000206458,0.000206458
179,16135.6,0.96897,2.0197,1.23504,0.45685,0.53028,0.43109,0.19989,2.0013,6.01548,2.14637,0.000198206,0.000198206,0.000198206
180,16226.4,0.94956,1.94631,1.22354,0.42887,0.52966,0.43397,0.20456,1.9878,5.81727,2.15532,0.000189955,0.000189955,0.000189955
181,16318.2,0.93359,1.90229,1.21304,0.43478,0.55911,0.42842,0.20427,1.99501,5.81843,2.14636,0.000181703,0.000181703,0.000181703
182,16407.8,0.92531,1.87607,1.20255,0.46442,0.57618,0.44086,0.20505,1.99669,5.70142,2.12651,0.000173451,0.000173451,0.000173451
183,16497.4,0.92594,1.85334,1.19984,0.45972,0.5162,0.44204,0.20975,1.98991,5.75563,2.12207,0.0001652,0.0001652,0.0001652
184,16589.3,0.94845,1.96115,1.21635,0.45651,0.48799,0.42897,0.20371,1.97616,5.97414,2.11487,0.000156948,0.000156948,0.000156948
185,16679.9,0.94063,1.92009,1.21478,0.48671,0.50679,0.4396,0.20344,1.96234,5.77686,2.10281,0.000148696,0.000148696,0.000148696
186,16769.4,0.92074,1.85028,1.1972,0.4748,0.54209,0.44961,0.21026,1.95846,5.71107,2.10219,0.000140445,0.000140445,0.000140445
187,16859.6,0.8867,1.82399,1.17229,0.44998,0.54383,0.4381,0.20355,1.96614,5.88594,2.11543,0.000132193,0.000132193,0.000132193
188,16952.3,0.93758,1.98372,1.2197,0.45868,0.52328,0.43432,0.20879,1.98113,5.94072,2.1606,0.000123941,0.000123941,0.000123941
189,17044.4,0.9486,1.93727,1.22769,0.48239,0.51207,0.44055,0.20989,1.98632,5.7944,2.17015,0.00011569,0.00011569,0.00011569
190,17134.3,0.90701,1.81801,1.19154,0.48894,0.5163,0.44745,0.20661,1.9866,5.84986,2.14757,0.000107438,0.000107438,0.000107438
191,17219.9,0.83857,1.50859,1.1511,0.46872,0.51268,0.41659,0.19355,2.04401,6.13298,2.2237,9.91865e-05,9.91865e-05,9.91865e-05
