epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3770.55,1.28522,3.10581,1.46821,0.45974,0.44422,0.42413,0.1874,1.95577,5.76979,1.99172,0.00132868,0.00132868,0.00132868
43,3859.73,1.2608,3.10206,1.46216,0.52343,0.44159,0.43017,0.17321,2.08068,6.17463,2.11471,0.00132043,0.00132043,0.00132043
44,3948.07,1.29684,3.2318,1.48333,0.55048,0.41226,0.42368,0.17856,2.04847,6.1399,2.03289,0.00131218,0.00131218,0.00131218
45,4035.04,1.28611,3.14334,1.44504,0.46642,0.41636,0.37804,0.15909,2.03306,6.41912,2.03501,0.00130393,0.00130393,0.00130393
46,4124.62,1.30014,3.31443,1.48243,0.46762,0.45737,0.4139,0.20014,2.01199,6.12801,2.04806,0.00129568,0.00129568,0.00129568
47,4213.81,1.25998,3.08958,1.45136,0.53838,0.43629,0.43108,0.19882,1.95072,5.72759,1.96949,0.00128742,0.00128742,0.00128742
48,4303.5,1.29079,3.14775,1.47186,0.39609,0.44805,0.40024,0.16154,2.07252,6.68214,2.10022,0.00127917,0.00127917,0.00127917
49,4392.74,1.30101,3.2429,1.48543,0.45916,0.46979,0.44071,0.18064,2.0153,6.42728,2.04853,0.00127092,0.00127092,0.00127092
50,4480.32,1.25676,3.00648,1.44451,0.39687,0.49797,0.42173,0.19055,2.01028,6.05346,2.06538,0.00126267,0.00126267,0.00126267
51,4569.89,1.297,3.21577,1.48234,0.57485,0.48161,0.48252,0.2108,1.95168,5.43823,1.98463,0.00125442,0.00125442,0.00125442
52,4659.63,1.2497,2.96499,1.4303,0.45799,0.4616,0.40069,0.17265,2.00279,6.01431,2.03329,0.00124617,0.00124617,0.00124617
53,4747.44,1.25346,3.03828,1.45021,0.35752,0.49006,0.39915,0.18458,2.01376,6.43504,2.07219,0.00123791,0.00123791,0.00123791
54,4836.6,1.27689,3.21355,1.46459,0.46071,0.49395,0.4424,0.17666,1.94423,5.82358,1.94064,0.00122966,0.00122966,0.00122966
55,4930.26,1.25693,3.0688,1.44861,0.45314,0.43749,0.41213,0.18136,1.94737,6.14335,1.99826,0.00122141,0.00122141,0.00122141
56,5020.15,1.25773,3.06185,1.45555,0.51947,0.41806,0.4236,0.18214,1.99063,5.93033,2.00732,0.00121316,0.00121316,0.00121316
57,5109.3,1.26701,3.08137,1.45043,0.48399,0.49035,0.46255,0.20635,1.97248,5.96834,1.99185,0.00120491,0.00120491,0.00120491
58,5196.9,1.23079,2.93645,1.42791,0.53587,0.46735,0.45164,0.20768,1.90847,6.00584,1.93858,0.00119666,0.00119666,0.00119666
